BARCODE;NAMEKH;NAMEEN;NOTE;COST;VENDORID
8858842079713;គ្រីមលាប បបូរមាត់  CATHY DOLL #01  (pink moment);Lipstick  CATHY DOLL #01  (pink moment);2.4 g;1.6666;3
8858842079775;គ្រីមលាប បបូរមាត់  CATHY DOLL #07  (wonder red);Lipstick  CATHY DOLL #07  (wonder red);2.4 g;1.6666;3
8858842069523;គ្រីមលាប បបូរមាត់   SUMMER #09;SUMMER lip&cheek  #09;2.4 g;1.7500;3
8858842069479;គ្រីមលាប បបូរមាត់ #04;SUMMER lip&cheek  #04;2.4 g;1.7500;3
8858842069486;គ្រីមលាប បបូរមាត់ #05;SUMMER lip&cheek  #05;2.4 g;1.7500;3
8858842069509;គ្រីមលាប បបូរមាត់ #07;SUMMER lip&cheek  #07;2.4 g;1.7500;3
8858842069516;គ្រីមលាប បបូរមាត់ #08;SUMMER lip&cheek  #08;2.4 g;1.7500;3
8858994480535;គូល័រឈុតផាត់មុខ  SIVANNA colors;Color makeup set  Sivanna;#03: 35 g;5.5000;3
8858994480511;គូល័រឈុតផាត់មុខ  SIVANNA colors;Color makeup set  Sivanna;No.:Dk-212;5.5000;3
8858842053461;ថ្នាំដុសធ្មេញក្លិនប្រហើរ  ស្រស់ស្រាយ SKYNLAB;Toothpaste SKYNLAB;160 g;5.8333;3
40200199991984;ថ្នាំដុសធ្មេញក្លិនប្រហើរ  Honest toothpaste;Scented toothpaste;60 g;1.0833;3
8850722201443;គ្រីមលាបមុខការពារ  កំដៅថ្ងៃ LIVIC uv;Protective face cream UV Sunscreen;50 g;1.6666;3
40700699001984;ប៉ុងផាត់មុខ  ;Beauty Make Up Puff;N/A;0.4166;3
6933494881210;គូល័រឈុតផាត់មុខ  ANYLADY;Color makeup set  ANYLADY;90 g;2.3333;3
8858910612132;ជក់ផាត់មុខ  ODBO perfect brush pink;Makeup brush  ODBO ;N/A;2.1666;3
8850518020722;ជែលលាបជំ​នួយសក់រឹង;DIPSO hair gel;250 ml;1.5833;3
8858883564520;ឧបករណ៍ពុតរោមភ្នែក;EYE LASH CURLER;N/A;0.9167;3
8858883564513;ឧបករណ៍ពុតរោមភ្នែក;EYE LASH CURLER;N/A;0.9167;3
8858883564506;ឧបករណ៍ពុតរោមភ្នែក;EYE LASH CURLER;N/A;0.9167;3
8851932391627;សាប៊ូកក់សក់បុរស  ជំនួយស្បែកក្បាលត្រជាក់  CLEAR;CLEAR men shampoo;450 ml;3.0000;3
8850348118019;ថ្នាំដុសធ្មេញផ្កាឈូក២;Dok Bua Ku toothpaste;150 g;1.3194;3
4902430281331;សាប៊ូកក់សក់  Head & Shoulders;Head & Shoulders  Shampoo;450 ml;3.1042;3
8850006602744;សាប៊ូទឹកដុសខ្លួន  Protex Icy Cool;Body Shampoo  Protex Icy Cool;450 ml;2.7500;3
8850006602768;សាប៊ូទឹកដុសខ្លួនក្លិនទឹកឃ្មុំ  Protex Propolis;Body Shampoo  Protex Propolis;450 ml;2.7500;3
8850006603529;សាប៊ូទឹកដុសខ្លួន  Protex shower cream;Body Shampoo  Protex;450 ml;2.7500;3
8851932332347;សាប៊ូទឹកដុសខ្លួនក្លិនក្រអូប;Lux body wash;500 ml;2.6250;3
8851932368582;សាប៊ូទឹកដុសខ្លួនក្លិនសាគូរ៉ា;Lux body wash;500 ml;2.6250;3
8851932391542;សាប៊ូកក់សក់;Clear shampoo;480 ml;3.0000;3
8858842078211;ថ្នាំដុសធ្មេញក្លិនប្រហើរ  ស្រស់ស្រាយ SKYNLAB;Scented toothpaste  SKYNLAB;160 g;5.8333;3
8859178711155;ថ្នាំដុសធ្មេញក្លិនប្រហើរ  DENTISTE;Toothpaste DENTISTE;40 g;1.5000;3
TU2315;ថ្នាំដុសធ្មេញជាតិផ្លរអរ៉ាយ;Smileon toothpaste;250 g;4.1666;3
8850029006437;ក្រែមលាបបបូរមាត់  ;Toothpaste SMILEON;4.8 g;2.8333;3
8858994439502;គូល័រផាត់ត្របកភ្នែក  SIVANNA Colors;Eyeliner SIVANNA;No.1;;
8858994439526;គូល័រផាត់ត្របកភ្នែក  SIVANNA Colors;Eyeliner SIVANNA;No.3;;
8858994439519;គូល័រផាត់ត្របកភ្នែក  SIVANNA Colors;Eyeliner SIVANNA;No.2;;
8850002011649;ហ៊្វូមលាងមុខអោយស  Shokubutsu;Whitening face wash  Shokubutsu;100 ml;1.5000;3
8850722092027;ហ្វូមលាងមុខកំចាត់  ជាតិខ្លាញ់;Facial cleansing foam;210 ml;1.4167;3
8859178713272;ជែលលាងមុខក្លិនប្រទាល;Balsam Cleansing Gel;100 g;1.3333;3
8859178709626;ម្សៅលាបខ្លួនកូនក្មេង  ការពារមូស MISTINE;Baby body lotion;100 g;1.0000;3
8851932422208;ទឹកសម្អាតកញ្ចក់  PROMAX Spray;Glass cleaning water  PROMAX Spray;500 ml;1.0833;3
8850722301815;សាប៊ូទឹកដុសខ្លួន  AR perfume body wash;Body Shampoo  AR perfume body wash;400 ml;1.9505;3
8850722301808;សាប៊ូទឹកដុសខ្លួន  AR perfume body wash;Body Shampoo  AR perfume body wash;400 ml;1.9510;3
8851427010217;សាប៊ូទឹកដុសខ្លួន  Deya Shower Gel;Body Shampoo  Deya Shower Gel;1000 g;2.5000;3
8851427015939;សាប៊ូទឹកដុសខ្លួន;Body Shampoo;1000 g;2.5000;3
8851427010224;សាប៊ូទឹកដុសខ្លួន;Body Shampoo;1000 g;2.5000;3
8859178707387;ទឹកអនាម័យស្ត្រី;Intimate soap;200 ml;1.6666;3
8859178707394;ទឹកអនាម័យស្ត្រី;Intimate soap;200 ml;1.6666;3
8850002021341;ទឹកអនាម័យស្ត្រី  Shokubutsu;Intimate soap  Shokubutsu;150 ml;1.5833;3
8850002021358;ទឹកអនាម័យស្ត្រី  Shokubutsu;Intimate soap  Shokubutsu;150 ml;1.5833;3
4902430565585;សាប៊ូកក់សក់កំចាត់អង្កែរ  Head & Shoulders;Anti-dandruff shampoo  Head & Shoulders;450 ml;3.1042;3
4987176054975;សាប៊ូកក់បំបាត់ជាតិខ្លាញ់  Head & Shoulders;Anti-dandruff shampoo  Head & Shoulders;450 ml;3.1042;3
4902430192897;សាប៊ូកក់សក់កំចាត់អង្កែរ  រូបមន្តធ្យូងខ្មៅ  Head & Shoulders;Anti-dandruff shampoo  Black Charcoal Recipe  Head & Shoulders;450 ml;3.1042;3
4892368072166;សាប៊ូកក់និងអប់ធ្វើអោយ   សក់ត្រង់ Palmolive ;Shampoo and conditioner  Palmolive Straight Hair;350 ml;1.9792;3
8850006480915;សាប៊ូទឹកដុសខ្លួន  Palmolive;Body Shampoo  Palmolive;500 g;2.1667;3
8850006480908;សាប៊ូទឹកដុសខ្លួន  Palmolive;Body Shampoo  Palmolive;500 g;2.1667;3
8850006480892;សាប៊ូទឹកដុសខ្លួនក្លិនផ្កា  Palmolive;Flower scented body wash  Palmolive;500 g;2.1667;3
8851932350303;សាប៊ូកក់ការពារសក់ជ្រុះ  Tresemme;Hair Loss Shampoo  Tresemme SH Platinum;480 ml;2.7083;3
8851932350181;សាប៊ូកក់ការពារសក់  បែកចុង Tresemme SH  Split Recovery Black;Hair protection shampoo  Tresemme SH  Split Recovery Black;480 ml;2.7083;3
8851932350242;សាប៊ូកក់សក់ធ្វើអោយ  សក់រឹងមាំ Tresemme;Shampoo makes  Tresemme Strong Hair  Keratin Smooth Red;480 ml;2.7083;3
8859212591422;សាប៊ូទឹកដុសខ្លួន  DK;Body Shampoo  DK Beauty whitening  shower cream (spa scrub);1200 ml;2.6250;3
8851932415675;សាប៊ូទឹកបោកសំលៀក  បំពាក់ក្លិនក្រអូប  BREEZE;Laundry Detergent  Fragrance  BREEZE laundry liquid;1.4 L;3.3333;3
8851932364959;សាប៊ូទឹកបោកសំលៀក  បំពាក់ក្លិនក្រអូប  BREEZE laundry liquid;BREEZE laundry liquid;1.5 L;3.3333;3
8851932427456;សាប៊ូកក់សក់ផ្សំពីយ៉ិនស៊ិន  Sunsilk shampoo;Ginseng Shampoo  Sunsilk shampoo;400 ml;3.5667;3
8851932427487;សាប៊ូកក់សក់ផ្សំពីយ៉ិនស៊ិន  Sunsilk shampoo;Ginseng Shampoo  Sunsilk shampoo;400 ml;3.5667;3
8850006490945;សាប៊ូកក់និងអប់សក់ប្រទាលកន្ទុយក្រពើ ;Aloe Vera Balm Shampoo & Conditioner  Palmolive shampoo;350 ml;1.9792;3
6926157000660;សាប៊ូម្ស៉ៅលាងម៉ាស៊ីនបោកសម្លៀកបំពាក់  Washing Machine;Washing machine detergent;90 g;0.6458;3
8850722069968;គ្រីមលាបជំនួយបបូរមាត់មានសំណើម  AR lip care cream;Hydra-Soothing fluid;;;
8850722690025;គ្រីមលាបជំនួយបបូរមាត់មានសំណើម  AR lip care cream;Hydra-Soothing fluid;;;
8850722069951;គ្រីមលាបជំនួយបបូរមាត់មានសំណើម  AR lip care cream;Hydra-Soothing fluid;;;
4902430431002;សាប៊ូកក់ការពារសក់ជ្រុះ  និងកំចាត់អង្កែរ;Hair Loss Shampoo;450 ml;3.1042;3
4902430430999;សាប៊ូកក់សក់;Shampoo;450 ml;3.1042;3
8852525369047;ថ្នាំដុសធ្មេញជំនួយ  ធ្មេញសស្អាត;White teeth toothpaste;100 g;2.3333;3
8859084702216;សំឡីជូតមុខ;Cotton swab;1 កេះ x 6 ឡូ;1.1388;3
8858994471779;ក្រែមលាបបបូរមាត់;Sivanna Colors lipstick;hf688: 4g;1.7500;3
8858994471793;ក្រែមលាបបបូរមាត់  ;Sivanna Colors lipstick;hf688: 4g;1.7500;3
8858994471861;ក្រែមលាបបបូរមាត់  ;Sivanna Colors lipstick;hf688: 4g;1.7500;3
8858994471830;ក្រែមលាបបបូរមាត់  ;Sivanna Colors lipstick;hf688: 4g;1.7500;3
8858994471854;ក្រែមលាបបបូរមាត់  ;Sivanna Colors lipstick;hf688: 4g;1.7500;3
8858994471816;ក្រែមលាបបបូរមាត់  ;Sivanna Colors lipstick;hf688: 4g;1.7500;3
8859527700205;គ្រីមលាបមុខពេលថ្ងៃ&យប់;AURA skin cream;2 x 10g;4.5833;3
8858994441789;គូល័រផាត់ភ្នែក #01  Sivanna Colors;Face powder #01 Sivanna;No. 01;;
8858994441796;គូល័រផាត់ភ្នែក #02  Sivanna Colors;Face powder #02 Sivanna;No. 02;;
8858994441802;គូល័រផាត់ភ្នែក #03  Sivanna Colors;Face powder #03 Sivanna;No.03;;
8850722663388;ម្សៅផាត់មុខនារី  Galaxy Powder;Women's face powder;22.70 g;2.5000;4
8850722093017;ហ៊្វូមលាងមុខ  Milky Charcoal;Face wash  Milky Charcoal;190 g;1.0000;4
