Item Code;ORDER POINT;ORDER POINT
4710421010088;6;24
9002490100070;6;12
6920202888883;6;12
9556092805234;6;24
4710421020087;6;24
8859032709359;6;24
4710421010019;6;24
9002490218058;6;12
4710421090059;6;24
70847811244;6;24
70847811213;6;24
70847812906;6;24
70847027324;6;24
70847015246;6;24
70847021520;6;24
70847022985;6;24
70847017707;6;24
52000121292;6;28
52000104615;6;28
52000122473;6;28
52000121865;6;28
52000124859;6;28
52000122480;6;28
54492653;6;12
90024901004901;6;12
8850228003046;5;10
4901777305359;6;12
8850157102582;6;12
8809056361804;6;15
8802521894753;6;20
8809056362702;6;20
8809056362900;6;20
3147699114360;6;12
86003780217;6;12
86003780248;6;12
3147690059103;6;6
3147690060703;6;6
3147697523508;6;6
6903290190502;6;12
8802521894746;6;20
8802521201551;6;20
8809056361682;6;20
8809056361934;6;20
9329982016603;6;24
9556057447011;6;24
8809056362801;6;24
8809056362795;6;24
8809056361637;6;24
86003000087;6;20
3147690071105;6;20
3147690033509;6;20
6930791600193;3;6
8801415054556;3;6
3028130066212;3;6
3180290046647;3;6
3180292202225;3;6
8846000189732;3;6
8846000189602;3;6
89540122700;3;6
8846000189466;3;6
3180293303327;3;6
8410702038966;3;6
3258561360256;3;6
8410013009747;3;6
6902212048815;3;6
6902212058166;3;6
126490;24;48
124100;24;48
122710;24;48
123550;24;48
8886451002136;12;24
7613036515788;6;12
70030127121;6;12
5704025030190;6;12
3258561202051;6;12
3258561202013;6;12
8888426940405;6;24
8850127003819;6;30
8850025562265;6;12
8852007934213;6;6
8852007983013;6;6
8852007982016;6;6
8806008037909;5;10
8806008940001;5;10
8806008037787;5;10
3438931004786;6;6
3016570000163;6;6
3016570000330;6;6
20900599001984;6;12
3014400007962;3;6
3038350023001;3;6
3258561360034;6;16
3014400001038;6;16
3147699107850;6;16
8990800200057;6;16
3147690075608;6;12
3147690031505;6;6
3147690016304;6;6
3147690024804;6;6
3147690089803;6;6
3147699106525;6;6
3147690096108;3;6
3258561360270;3;6
3162850911169;24;60
8011510022064;12;20
85000007686;8;12
3045710010496;6;12
3410280009537;6;12
9336399001498;6;12
3035138005655;6;12
3035131625102;6;12
3035138005693;6;12
7804324003012;6;12
7804324000141;6;12
8846600196352;6;12
8846600196437;6;12
8846600196529;6;12
3339001100394;6;12
6002323013006;6;12
3192040495452;6;12
29147304833;6;12
29147100244;6;12
80696923470;6;12
80696013256;6;12
80696096426;6;12
80696121227;6;12
80696922367;6;12
80696923494;6;12
7804320303178;6;12
7804320561431;6;12
7804320510163;6;12
8935134500053;6;12
3339000500348;6;12
3760082003197;6;12
3192040490099;6;12
9339348009705;6;12
9327243004321;6;12
9327243004338;6;12
9327243004482;6;12
9327243004314;6;12
9339348009712;6;12
7804645040413;6;12
9300752030227;6;12
9300752030524;6;12
8411543111825;6;12
8411543118213;6;12
3192040509890;6;12
3339001000298;6;12
600358114253;6;12
600358114260;6;12
9334640000016;6;12
9334640003987;6;12
9334640005660;6;12
3569190041615;6;12
3339001100172;6;12
3378632920223;6;12
9311769179007;6;12
8437001019748;6;12
7792319677792;6;12
6001108025166;6;12
9310297042906;6;12
9310297651481;6;12
3262151100757;6;12
83085221058;6;12
86003051843;6;12
4770047234121;6;12
9338972001253;6;12
9338972001246;6;12
9313467038129;6;12
9313467031113;6;12
8846600196376;6;12
7804361001767;6;12
7804361000104;6;12
8011510013512;6;12
7804361001682;6;12
748294044101;6;12
6002323020035;6;12
6001108049841;6;12
8410113003614;6;12
94922943040;6;12
7798039590342;6;12
7798039590151;6;12
9336399001429;6;12
9336399001405;6;12
9336399000880;6;12
9336399001412;6;12
9336399001443;6;12
9336399001436;6;12
8013327301684;6;12
7804338000502;6;12
7804338000519;6;12
7804338000496;6;12
86003000490;6;12
86003003392;6;12
5010186016424;6;12
7804324004064;6;12
7804324003029;6;12
7804324000028;6;12
8437001019540;6;12
89819001972;6;12
89819068227;6;12
7804320087016;6;12
L16919;6;12
L13117;6;12
7804320753607;6;12
7804320462004;6;12
7804320312101;6;12
7804320296982;6;12
7804320706009;6;12
3760152360212;6;12
9999456634789;6;12
7798039590731;6;12
7804320214085;6;12
86003000421;6;12
86003061910;6;12
7804320349114;6;12
7804320581002;6;12
7804320748405;6;12
7804320063027;6;12
86003000094;6;12
3760230350203;6;24
3760230350029;6;24
8008900001037;6;6
8008900060324;6;6
8008900005387;6;6
8437015824819;6;6
8437015824529;6;6
8437001019717;6;6
85000006986;6;6
8008900002058;6;6
7804320309507;6;6
7804320117485;6;6
3186127717407;6;6
3760042040040;6;6
3258561330884;6;6
3423290193660;6;6
3182520401271;6;6
3259866127148;6;6
3258561330914;6;6
3258561340432;6;6
3192371117726;6;6
3760156560106;6;6
3251091906468;6;6
3303292703558;6;6
3211203420121;6;6
3211203420039;6;6
6002323000785;6;6
6002323000747;6;6
9334640005486;6;6
3303292401966;6;6
