BARCODE;ONHAND;COUNT
8850069070078;12;12
#N/A;0;0
8847106430018;9;8
8850069011019;16;10
8850069010241;295;292
8850069020226;125;125
8850250007685;47;47
8850250007739;57;48
8850069010074;20;19
6933184500261;0;0
8850030112462;21;21
8850030003074;8;8
8850030110765;12;12
8850030003081;10;10
8850030110628;18;18
8850030112318;25;25
8850030111922;14;14
8850030112219;12;12
8850030110918;24;24
8850144214601;32;32
8801039703021;0;0
8847105056158;1;1
4902841001009;11;11
8801007028743;19;18
8801052171067;1;1
4902833745775;-1;0
4902833731006;0;0
8801007028729;0;0
8850250009092;8;8
8850250001669;34;33
8850250001652;719;299
8850250011217;47;54
8847106399926;4;0
8859011204004;0;0
8859011204011;0;0
8850250011248;10;10
8847106399940;6;0
8850250011293;26;25
8850542400033;42;43
8847106399933;1;0
8850250011323;17;17
8859296300019;27;29
8859296300040;38;39
8859296300361;59;35
8847102950039;2;2
8847104161808;0;0
8847102950763;12;13
20500299071984;2;0
8850256100106;101;122
8859296300842;8;6
8847105056165;6;6
8859041300264;0;0
8801007101309;14;14
8847105056172;17;17
8801007100838;15;14
8801007101408;13;13
8846000189787;7;7
8846000189794;0;0
8846000189800;2;1
8846000189114;4;5
8846000189831;0;0
20500299971984;0;0
8846600196581;4;4
8847110660197;6;6
20200599991984;13;13
8847102950732;10;10
20200599981984;10;10
8847106807865;50;30
8801791000185;4;4
8801791000154;6;6
8801052802046;0;0
8801007166575;12;12
8801791000147;10;10
8801007052854;19;19
8801007166490;13;13
8801075011548;0;0
8801791000178;9;9
523261;3;3
523461;1;2
522491;11;11
522561;11;10
523561;9;11
522611;24;24
524241;9;6
524181;16;15
522111;8;8
524441;8;7
526981;3;3
526961;2;2
524421;8;8
526471;13;12
526261;5;6
5243819;6;6
52100060408;6;6
52100030234;14;15
526761;3;2
52100030043;13;13
52100746043;25;24
52100746029;77;80
52100030265;8;7
52100029924;5;4
8847105056400;9;9
8847105056110;2;2
8847105056325;0;0
8847105056394;6;5
8850367300273;41;41
8847105056455;1;1
8847110660166;11;11
8847110660180;6;6
8850539130622;15;15
8859647600249;0;0
8857200222242;4;0
8847105056479;5;3
8847105056462;0;0
8847105056448;0;0
8809258458821;8;8
8809258458968;5;0
8809258458999;9;9
8809258458975;14;13
6952109800033;1;1
6952109800026;4;4
8858011508204;12;12
8858011801299;17;17
8858011801077;7;7
8858011801350;8;8
8858011508297;9;9
8858011801336;7;7
8858011801312;15;15
8858011801084;11;13
8858011585007;4;4
8858011585038;3;3
8858011585403;9;9
8858011585045;6;5
8858011585410;4;4
8858011585052;3;2
8858011585427;5;5
8858011585069;3;3
8850511421205;9;9
8858011585021;2;0
52100098807;13;20
52100040813;11;10
52100090207;9;9
52100043609;8;8
52100090405;40;36
52100037806;8;6
52100018997;3;3
52100464503;11;20
52100760698;12;12
52100091402;1;9
52100034911;0;0
8847104230351;18;18
20500299951984;17;17
20500299941984;15;15
8847105889947;0;0
8847110660364;12;12
8846000559849;0;0
8846500012011;10;10
8846500011021;4;4
8846200550073;6;6
8846200550080;6;6
20500298861984;3;6
8847110660388;6;6
20500298901984;18;17
8847104230368;4;4
8847104230153;11;11
8846200550028;7;7
8846200550035;6;6
8846200550042;4;4
8846500011618;4;6
8847103256017;0;0
8847104230177;13;13
8847110660395;6;6
8846000189305;3;3
8846000189329;6;6
8846000189060;1;1
8846200550011;14;14
8847103252019;4;4
8847103251012;3;3
8847103253016;1;1
8847104510019;5;5
8847104510064;7;7
8847104510033;7;7
8847105056288;0;0
8846500010369;4;4
8847104230269;8;8
8847103329520;3;4
8847104510057;3;3
8847104510040;6;6
8846200550059;4;4
6970706440100;-6;14
6955362600082;17;15
6955362600051;9;9
8847105056332;-1;0
20700399961984;22;18
6971405460055;36;35
8847955228897;34;35
6955985288841;13;10
