72;8001440124181;CIRIO pasta sauce basilico 420g;ANNAM CAMBODIA COMPANY;100-232;7;2025-07-01;RETURN;G03A-C03-L3;90
73;8001440133688;CIRIO pasta sauce italian cheese 420g;ANNAM CAMBODIA COMPANY;100-015;13;2024-12-02;RETURN;G03A-C03-L1;90
74;8001440133664;CIRIO pasta sauce mushrooms 420g;ANNAM CAMBODIA COMPANY;100-232;10;2024-11-23;RETURN;G03A-C03-L2;90
75;8001440124167;CIRIO pasta sauce napoletana 420g;ANNAM CAMBODIA COMPANY;100-232;2;2025-04-01;RETURN;G03A-C03-L3;90
76;8000320381676;Cirio Polpa Chopped Tomatoes 2550g;ANNAM CAMBODIA COMPANY;100-015;6;2025-12-31;RETURN;G02B-C06-L1;90
77;8000320010118;Cirio Polpa Diced 398g;ANNAM CAMBODIA COMPANY;100-015;20;2025-12-31;RETURN;G02B-C06-L1;90
78;8001440132506;CIRIO red kidney bohnen 380g;ANNAM CAMBODIA COMPANY;100-015;5;2024-08-31;RETURN;G02B-C06-L2;90
79;3092719700187;CITRON VERT SYRUB 700ML;ANNAM CAMBODIA COMPANY;100-015;10;2024-06-30;RETURN;G05B-C05-L1;90
80;3077312609099;CORNICHONS SIZE 200 CLOVIS 200g;ANNAM CAMBODIA COMPANY;100-015;16;2025-04-13;RETURN;G02B-C04-L2;90
81;4000417212009;Dark Chocolate Almond & Orange 100g;ANNAM CAMBODIA COMPANY;100-015;7;2024-06-17;RETURN;G07B-C01-L6;90
82;5000396037227;DIGESTIVE LIGHT 250G;ANNAM CAMBODIA COMPANY;100-015;8;2024-05-18;RETURN;G06A-C07-L6;90
83;5000396037944;DIGESTIVE THE ORIGINAL 250G;ANNAM CAMBODIA COMPANY;100-015;7;2024-06-15;RETURN;G06A-C07-L6;90
84;523261;DILL WEED 8g;ANNAM CAMBODIA COMPANY;100-015;2;2024-10-14;RETURN;G01B-C05-L6;90
85;40122779;DRESSING AMERICAN CAESAR 250g;ANNAM CAMBODIA COMPANY;100-015;9;2024-12-08;RETURN;G03A-C02-L6;90
86;40737249;DRESSING DIJON 250ml;ANNAM CAMBODIA COMPANY;100-015;5;2024-07-11;RETURN;G03A-C01-L3;90
87;40804897;DRESSING ITALIAN 250ml;ANNAM CAMBODIA COMPANY;100-015;10;2025-01-18;RETURN;G03A-C02-L6;90
88;40804880;DRESSING THOUSAND ISLANDS 250ml;ANNAM CAMBODIA COMPANY;100-015;6;2024-10-27;RETURN;G03A-C01-L3;90
89;40804866;DRESSING VINAIGRETTE FINE HERB 250g;ANNAM CAMBODIA COMPANY;100-015;4;2025-04-06;RETURN;G03A-C01-L3;90
90;9555491103712;Dried Whole Cranberry 36 x 100g;ANNAM CAMBODIA COMPANY;100-015;9;2024-07-01;RETURN;G04A-C04-L5;90
91;522491;FENNEL SEED WHL 24g;ANNAM CAMBODIA COMPANY;100-015;23;2026-01-25;RETURN;G01B-C05-L6;90
92;7610400987318;Findt Lindor Assorted 168g;ANNAM CAMBODIA COMPANY;100-015;46;2024-06-29;RETURN;G07B-C01-L1;90
93;7610400069502;Findt Lindor Milk 37g;ANNAM CAMBODIA COMPANY;100-015;117;2024-06-29;RETURN;G07B-C01-L6;90
94;7610400099967;Findt Lindor Milk Chocolate 37g;ANNAM CAMBODIA COMPANY;100-015;54;2024-06-29;RETURN;G07B-C01-L6;90
95;3178530400687;FINE GALETTES 90g;ANNAM CAMBODIA COMPANY;100-015;9;2024-06-16;RETURN;G06A-C06-L3;90
96;9555491102418;Flaxseed - Brown 36 x 200g;ANNAM CAMBODIA COMPANY;100-015;10;2024-05-20;RETURN;G01A-C08-L4;90
97;9555491102425;Flaxseed - Golden 36 x 200g;ANNAM CAMBODIA COMPANY;100-015;10;2024-05-28;RETURN;G01A-C08-L4;90
98;39047005136;FRUIT & LEMON BISCUITS 150g;ANNAM CAMBODIA COMPANY;100-015;1;2024-06-30;RETURN;G06B-C08-L7;90
99;11210007253;GARLIC PEPPER SAUCE 60ml;ANNAM CAMBODIA COMPANY;100-015;10;2025-05-18;RETURN;G02A-C03-L4;90
100;8935134594038;GARLIC STUFFED OLIVES LATINO BELLA 235g;ANNAM CAMBODIA COMPANY;100-015;23;2025-09-15;RETURN;G02B-C04-L2;90
101;5000168164045;GINGER NUTS 250g;ANNAM CAMBODIA COMPANY;100-015;23;2024-06-24;RETURN;G06A-C08-L2;90
102;8691216018891;GOLDBEARS 30g;ANNAM CAMBODIA COMPANY;100-015;52;2024-12-07;RETURN;G07B-C08-L5;90
103;8691216090514;GOLDBEARS, 160g;ANNAM CAMBODIA COMPANY;100-015;49;2024-07-04;RETURN;G07B-C08-L3;90
104;11210009387;GREEN PEPPER SAUCE;ANNAM CAMBODIA COMPANY;100-015;6;2024-11-26;RETURN;G02A-C03-L4;90
105;4976515002319;Green Tea 2g;ANNAM CAMBODIA COMPANY;100-015;5;2025-05-29;RETURN;G05B-C01-L3;90
106;3092719700330;GRENADINE BARMAN SYRUB 700ML;ANNAM CAMBODIA COMPANY;100-015;6;2024-08-30;RETURN;G05B-C05-L1;90
107;11210006508;HABANERO SAUCE 60ml;ANNAM CAMBODIA COMPANY;100-015;5;2024-12-21;RETURN;G02A-C03-L4;90
108;837328000050;HAKUBAKU RAMEN;ANNAM CAMBODIA COMPANY;100-015;3;2024-11-01;RETURN;G03A-C07-L4;90
109;8691216014909;HARIBO chamallows (pink & white) 70g;ANNAM CAMBODIA COMPANY;100-015;35;2024-07-06;RETURN;G07B-C07-L5;90
110;8691216024601;HARIBO fruitgums (goldbears) 200g;ANNAM CAMBODIA COMPANY;100-015;9;2024-06-04;RETURN;G07B-C08-L2;90
111;8691216090484;HARIBO fruitgums (peaches flavour) 80g;ANNAM CAMBODIA COMPANY;100-015;47;2024-12-20;RETURN;G07B-C08-L5;90
112;8691216090521;Haribo Happy Cola 160g;ANNAM CAMBODIA COMPANY;100-015;30;2024-06-29;RETURN;G07B-C08-L3;90
113;3045320099553;HONEY 30g;ANNAM CAMBODIA COMPANY;100-015;9;2024-04-03;RETURN;G05B-C05-L6;90
114;4976515008564;Jasmine Green Tea 2g;ANNAM CAMBODIA COMPANY;100-015;5;2024-10-19;RETURN;G05B-C01-L3;90
115;4901515003448;KIKKOMAN cooking sauce oyster flavoured 600ml;ANNAM CAMBODIA COMPANY;100-015;9;2024-10-18;RETURN;G02A-C07-L3;90
116;4901515118883;KIKKOMAN cooking soy sauce (less salt) 600ml;ANNAM CAMBODIA COMPANY;100-015;7;2024-07-17;RETURN;G02A-C05-L6;90
117;4901515118586;KIKKOMAN cooking soy sauce (natural brewed) 600ml;ANNAM CAMBODIA COMPANY;100-015;10;2024-05-01;RETURN;G02A-C05-L6;90
118;4901515118579;KIKKOMAN cooking soy sauce (special fragrance) 600ml;ANNAM CAMBODIA COMPANY;100-015;12;2024-11-12;RETURN;G02A-C05-L6;90
